architecture,architecture_display,accuracy,precision,recall,f1,sensitivity,specificity,roc_auc,auc_ci_lower,auc_ci_upper,tp,tn,fp,fn,n_samples
A1,VGG19,0.7539432176656151,0.7147335423197492,0.7781569965870307,0.7450980392156863,0.7781569965870307,0.7331378299120235,0.821364587190856,0.7873299770800597,0.8533001211053616,228,250,91,65,634
A2,VGG19 + InceptionResNetV2,0.804416403785489,0.7665615141955836,0.8293515358361775,0.7967213114754099,0.8293515358361775,0.782991202346041,0.874120484821795,0.846322800836728,0.9006835947274128,243,267,74,50,634
A3,VGG19 + MobileNetV2,0.7949526813880127,0.7603833865814696,0.8122866894197952,0.7854785478547854,0.8122866894197952,0.7800586510263929,0.8473972355949676,0.8149059681923274,0.8779563220001401,238,266,75,55,634
A4,InceptionResNetV2 + MobileNetV2,0.7981072555205048,0.7704918032786885,0.8020477815699659,0.7859531772575251,0.8020477815699659,0.7947214076246334,0.8621901053916907,0.8318819873289762,0.8905357661165213,235,271,70,58,634
A5,VGG19 + InceptionResNetV2 + MobileNetV2,0.804416403785489,0.7648902821316614,0.8327645051194539,0.7973856209150326,0.8327645051194539,0.7800586510263929,0.8641317946613554,0.8348758419825248,0.8922415001050914,244,266,75,49,634
